,ID,column,AR,I,MA,S-AR,S-I,S-MA,train_rmse,train_mape,val_rmse,val_mape,split
0,89,INCOMING_HO_SEIZURES,1,0,1,0,0,0,8.509082659691405,1.5385369065865921,7.375643068816347,1.9361409422874758,1
0,89,INCOMING_HO_SEIZURES,0,0,0,1,0,0,8.767839120462893,1.7698871928747235,6.855557333550878,0.8068932010969934,2
0,89,INCOMING_HO_SEIZURES,0,0,4,1,0,0,8.828199122929886,0.8094748248061379,6.926043446598043,0.669940873158374,3
0,89,CALL_REQUESTS,0,0,0,1,0,1,404.9838480312211,1.8133933059365277,812.9976406630082,3.145084215823692,1
0,89,CALL_REQUESTS,0,0,0,1,0,1,465.96137314287756,2.834691768368014,513.5585698019524,0.45159587567776294,2
0,89,CALL_REQUESTS,1,0,2,1,0,0,170.6211515941239,0.24854932091370963,61.29494768007296,0.07723023479082855,3
0,89,TCH_NORMAL_SEIZURES,0,0,0,1,0,1,387.53622182839405,1.4019840214924444,695.681370518495,3.237702341959343,1
0,89,TCH_NORMAL_SEIZURES,0,0,0,1,0,1,403.33475402025385,1.6600379753560408,309.22719908761553,0.16530374213720686,2
0,89,TCH_NORMAL_SEIZURES,0,0,0,1,0,1,405.54585972030674,1.70371363988544,200.27546027220384,0.2319462131202984,3
