0,1,0,0,1,0,7,n,1200.268
0,1,0,0,1,0,7,c,1205.257
0,1,0,0,1,0,7,t,1211.706
0,1,0,0,1,0,7,ct,1213.569
0,1,0,0,1,2,7,n,719.553
0,1,0,0,2,0,7,n,1815.952
0,1,0,0,2,0,7,c,1820.070
0,1,0,0,2,0,7,t,1830.156
0,1,0,0,2,0,7,ct,1837.789
0,1,0,0,1,2,7,c,723.004
0,1,0,0,1,2,7,t,739.319
0,1,0,0,1,2,7,ct,753.259
0,1,0,0,1,3,7,n,725.590
0,1,0,0,1,3,7,t,732.147
0,1,0,0,2,2,7,n,1000.967
0,1,0,0,1,3,7,c,732.006
0,1,0,0,1,3,7,ct,897.394
0,1,0,1,1,0,7,n,1012.420
0,1,0,1,1,0,7,c,1016.161
0,1,0,1,1,0,7,t,1022.409
0,1,0,0,2,2,7,t,1017.972
0,1,0,0,2,2,7,c,1014.930
0,1,0,1,1,0,7,ct,1026.976
0,1,0,0,2,2,7,ct,1048.339
0,1,0,0,2,3,7,n,825.414
0,1,0,0,2,3,7,t,849.902
0,1,0,1,1,2,7,n,724.757
0,1,0,1,1,2,7,c,874.297
0,1,0,1,1,2,7,t,768.114
0,1,0,0,2,3,7,c,958.868
0,1,0,1,2,0,7,n,1107.221
0,1,0,0,2,3,7,ct,944.429
0,1,0,1,2,0,7,c,1111.384
0,1,0,1,1,2,7,ct,790.795
0,1,0,1,2,0,7,t,1117.046
0,1,0,1,2,0,7,ct,1123.339
0,1,0,1,1,3,7,n,700.609
0,1,0,1,2,2,7,n,942.794
0,1,0,1,1,3,7,t,727.398
0,1,0,1,1,3,7,c,777.764
0,1,0,1,1,3,7,ct,738.784
0,1,0,1,2,2,7,t,947.414
0,1,0,2,1,0,7,n,1055.271
0,1,0,1,2,2,7,c,942.625
0,1,0,2,1,0,7,c,1058.952
0,1,0,1,2,2,7,ct,979.322
0,1,0,2,1,0,7,t,1065.453
0,1,0,2,1,0,7,ct,1070.418
0,1,0,1,2,3,7,n,849.652
0,1,0,2,1,2,7,n,2417216.995
0,1,0,2,1,2,7,c,897.544
0,1,0,2,1,2,7,t,903.412
0,1,0,1,2,3,7,c,883.913
0,1,0,2,2,0,7,n,1269.418
0,1,0,1,2,3,7,t,1056.133
0,1,0,2,1,2,7,ct,912.943
0,1,0,1,2,3,7,ct,1000.126
0,1,0,2,2,0,7,c,1275.091
0,1,0,2,2,0,7,t,1282.539
0,1,0,2,2,0,7,ct,1288.796
0,1,0,2,1,3,7,n,719.656
0,1,0,2,1,3,7,c,892.124
0,1,0,2,1,3,7,t,1007.354
0,1,0,2,1,3,7,ct,843.043
0,1,0,4,1,0,7,n,865.465
0,1,0,2,2,2,7,n,934.849
0,1,0,2,2,2,7,c,1044.580
0,1,0,2,2,2,7,ct,1184.319
0,1,0,2,2,3,7,n,926.750
0,1,0,4,1,0,7,t,873.626
0,1,0,4,1,0,7,ct,879.193
0,1,0,4,1,0,7,c,868.503
0,1,0,2,2,3,7,ct,1816509.325
0,1,0,4,1,2,7,c,77864221.592
0,1,0,4,2,0,7,n,890.614
0,1,0,4,1,2,7,t,67139350343089.930
0,1,0,4,1,2,7,ct,762.164
0,1,0,4,1,3,7,n,653.266
0,1,0,4,2,0,7,t,896.897
0,1,0,4,1,3,7,ct,716.866
0,1,0,4,2,0,7,ct,1533024420576741120.000
0,1,0,4,2,2,7,n,854.674
0,1,0,4,2,2,7,c,898.419
0,1,0,4,2,2,7,ct,967.310
0,1,0,4,2,3,7,n,830.727
0,1,0,7,1,0,7,n,897.761
0,1,0,4,2,3,7,ct,614091.490
0,1,0,7,1,0,7,c,900.645
0,1,0,7,1,0,7,t,889.565
0,1,0,7,1,0,7,ct,914.131
0,1,0,7,1,2,7,n,677.883
0,1,0,7,1,2,7,t,47043.548
0,1,0,7,1,3,7,n,738.040
0,1,0,7,2,0,7,n,1020.709
0,1,0,7,1,3,7,c,930.802
0,1,0,7,1,3,7,t,946.423
0,1,0,7,2,0,7,c,985.311
0,1,0,7,2,0,7,t,3364775.138
0,1,2,0,1,0,7,n,1223.548
0,1,2,0,1,0,7,c,1250.196
0,1,2,0,1,0,7,t,1255.779
0,1,2,0,1,0,7,ct,1262.548
0,1,2,0,1,2,7,n,636.281
0,1,0,7,2,2,7,n,917.349
0,1,2,0,1,2,7,c,623.448
0,1,2,0,1,2,7,t,615.188
0,1,2,0,1,2,7,ct,825.505
0,1,2,0,1,3,7,n,633.678
0,1,2,0,2,0,7,n,1965.810
0,1,0,7,2,3,7,n,951.355
